index,Order ID,Date,Status,Fulfilment,Sales Channel,Service-level,Category,Size,Courier Status,Qty,Currency,Amount,City,State,Postal-Code,Country,B2B,fulfilled-by
7884,408-6561851-7993926,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,0.0,Bengaluru,KARNATAKA,560008,IN,False,Easy Ship
7885,406-7864816-7068312,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,XL,Shipped,1,INR,493.0,PUNE,MAHARASHTRA,411014,IN,False,Easy Ship
7886,402-5108099-4292344,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,1133.0,NAGERCOIL,TAMIL NADU,629003,IN,False,Easy Ship
7887,408-7294080-2196323,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Trousers,S,Cancelled,0,INR,623.2403721475794,BENGALURU,KARNATAKA,560043,IN,False,Easy Ship
7888,406-4143079-6879507,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,1112.0,BENGALURU,KARNATAKA,560070,IN,False,Easy Ship
7889,402-4995759-5219515,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399.0,MADURAI,TAMIL NADU,625002,IN,False,Easy Ship
7890,404-1313264-5107554,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Shirt,L,Cancelled,0,INR,623.2403721475794,NAGOJANAHALLI,TAMIL NADU,635204,IN,False,Easy Ship
7891,407-1988483-9693951,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,462.0,Mumbai,MAHARASHTRA,400050,IN,False,Easy Ship
7892,407-5347415-3480369,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,435.0,"Eravipuram,Kollam",KERALA,691011,IN,False,Easy Ship
7893,407-1335699-3194717,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,M,Shipped,1,INR,518.0,Hyderabad,TELANGANA,500091,IN,False,Easy Ship
7894,408-5167481-5958744,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Trousers,XL,Cancelled,0,INR,623.2403721475794,BENGALURU,KARNATAKA,560043,IN,False,Easy Ship
7895,407-3013059-7271539,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,Shirt,M,On the Way,0,INR,358.1,SECUNDERABAD,TELANGANA,500026,IN,False,Easy Ship
7896,406-8858945-5912362,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Unshipped,1,INR,1112.0,BENGALURU,KARNATAKA,560070,IN,False,Easy Ship
7897,405-1377425-4566707,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,Trousers,XS,On the Way,0,INR,623.2403721475794,CHENNAI,TAMIL NADU,600119,IN,False,Easy Ship
7898,408-1330168-8889941,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,0.0,MUMBAI,MAHARASHTRA,400005,IN,False,Easy Ship
7899,408-3091761-3237107,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,696.0,patna,BIHAR,800007,IN,False,Easy Ship
7900,408-5071961-8504364,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,495.0,HYDERABAD,TELANGANA,501218,IN,False,Easy Ship
7901,404-8709681-4046742,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XS,Shipped,1,INR,487.0,CURCHOREM,GOA,403706,IN,False,Easy Ship
7902,403-4076889-8177954,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,376.0,HYDERABAD,TELANGANA,500058,IN,False,Easy Ship
7903,403-6569588-1463564,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,T-shirt,L,On the Way,0,INR,623.2403721475794,KURNOOL,ANDHRA PRADESH,518001,IN,False,Easy Ship
7904,404-9273211-0724339,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Perfume,Free,Shipped,1,INR,388.0,PUNE,MAHARASHTRA,411060,IN,False,Easy Ship
7905,408-4133166-0881938,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Cancelled,0,INR,623.2403721475794,VARANASI,UTTAR PRADESH,221005,IN,False,Easy Ship
7906,404-7544673-6835568,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,597.0,VIJAYAWADA,ANDHRA PRADESH,520012,IN,False,Easy Ship
7907,403-6176534-4289937,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399.0,RIICO INDUSTRIAL AREA NEEMRANA,RAJASTHAN,301705,IN,False,Easy Ship
7908,407-9291560-4621913,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,1133.0,Delhi,New Delhi,110085,IN,False,Easy Ship
7909,403-8088257-0561937,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,722.86,Subdega,ODISHA,770014,IN,False,Easy Ship
7910,406-2491791-6013901,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,634.29,THANE,MAHARASHTRA,400601,IN,False,Easy Ship
7911,407-1206906-0489158,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,968.0,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,201306,IN,False,Easy Ship
7912,408-0668071-9582735,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,S,Shipped,1,INR,339.0,KOLKATA,WEST BENGAL,700068,IN,False,Easy Ship
7913,171-2558524-7975525,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,759.0,KURNOOL,ANDHRA PRADESH,518001,IN,False,Easy Ship
7914,404-6150185-3971559,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,S,Shipped,1,INR,463.0,Taleigao  Panaji,GOA,403002,IN,False,Easy Ship
7915,171-6892828-5031524,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,533.0,KOLKATA,WEST BENGAL,700156,IN,False,Easy Ship
7916,408-9529971-4202735,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,459.0,KOLKATA,WEST BENGAL,700153,IN,False,Easy Ship
7917,406-1369623-1984362,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,824.0,GURUGRAM,HARYANA,122001,IN,False,Easy Ship
7918,405-0541915-1709132,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,533.0,VADODARA,Gujarat,390003,IN,False,Easy Ship
7919,402-2037607-9985917,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,XXL,Shipped,1,INR,751.0,Dombivli-E,MAHARASHTRA,421203,IN,False,Easy Ship
